Hylak_id,center_long,center_lat,Lake_name,Country,Continent,Lake_type,Lake_area,Depth_avg,Elevation,n_obs,stat_method,intermittency,Tyear_mean,Tyear_mean_open,Tyear_min,Tyear_max,Tyear_CImean_min,Tyear_CImean_max,ice_days,ice_days_min,ice_days_max,ice_start,ice_start_min,ice_start_max,ice_end,ice_end_min,ice_end_max,Tmonth_mean_1,Tmonth_mean_2,Tmonth_mean_3,Tmonth_mean_4,Tmonth_mean_5,Tmonth_mean_6,Tmonth_mean_7,Tmonth_mean_8,Tmonth_mean_9,Tmonth_mean_10,Tmonth_mean_11,Tmonth_mean_12,Tmonth_min_1,Tmonth_min_2,Tmonth_min_3,Tmonth_min_4,Tmonth_min_5,Tmonth_min_6,Tmonth_min_7,Tmonth_min_8,Tmonth_min_9,Tmonth_min_10,Tmonth_min_11,Tmonth_min_12,Tmonth_max_1,Tmonth_max_2,Tmonth_max_3,Tmonth_max_4,Tmonth_max_5,Tmonth_max_6,Tmonth_max_7,Tmonth_max_8,Tmonth_max_9,Tmonth_max_10,Tmonth_max_11,Tmonth_max_12,Tmonth_CImean_min_1,Tmonth_CImean_min_2,Tmonth_CImean_min_3,Tmonth_CImean_min_4,Tmonth_CImean_min_5,Tmonth_CImean_min_6,Tmonth_CImean_min_7,Tmonth_CImean_min_8,Tmonth_CImean_min_9,Tmonth_CImean_min_10,Tmonth_CImean_min_11,Tmonth_CImean_min_12,Tmonth_CImean_max_1,Tmonth_CImean_max_2,Tmonth_CImean_max_3,Tmonth_CImean_max_4,Tmonth_CImean_max_5,Tmonth_CImean_max_6,Tmonth_CImean_max_7,Tmonth_CImean_max_8,Tmonth_CImean_max_9,Tmonth_CImean_max_10,Tmonth_CImean_max_11,Tmonth_CImean_max_12,Tmonth_CIpred_min_1,Tmonth_CIpred_min_2,Tmonth_CIpred_min_3,Tmonth_CIpred_min_4,Tmonth_CIpred_min_5,Tmonth_CIpred_min_6,Tmonth_CIpred_min_7,Tmonth_CIpred_min_8,Tmonth_CIpred_min_9,Tmonth_CIpred_min_10,Tmonth_CIpred_min_11,Tmonth_CIpred_min_12,Tmonth_CIpred_max_1,Tmonth_CIpred_max_2,Tmonth_CIpred_max_3,Tmonth_CIpred_max_4,Tmonth_CIpred_max_5,Tmonth_CIpred_max_6,Tmonth_CIpred_max_7,Tmonth_CIpred_max_8,Tmonth_CIpred_max_9,Tmonth_CIpred_max_10,Tmonth_CIpred_max_11,Tmonth_CIpred_max_12,lswt_ann_avg,lswt_ao_avg,lswt_amj_avg,lswt_jja_avg,lswt_warmest_avg,abs_lat,sq_lswt_ann,sq_lswt_ao,sq_lswt_amj,sq_lswt_jja,sq_lswt_warmest,log_lake_area,log_depth,elevation_km,nearest_temp_1,nearest_temp_2,nearest_temp_3,nearest_temp_4,nearest_temp_5,nearest_temp_6,nearest_temp_7,nearest_temp_8,nearest_temp_9,nearest_temp_10,nearest_temp_11,nearest_temp_12,nearest_tcc_1,nearest_tcc_2,nearest_tcc_3,nearest_tcc_4,nearest_tcc_5,nearest_tcc_6,nearest_tcc_7,nearest_tcc_8,nearest_tcc_9,nearest_tcc_10,nearest_tcc_11,nearest_tcc_12,nearest_rh_1,nearest_rh_2,nearest_rh_3,nearest_rh_4,nearest_rh_5,nearest_rh_6,nearest_rh_7,nearest_rh_8,nearest_rh_9,nearest_rh_10,nearest_rh_11,nearest_rh_12,nearest_ssr_1,nearest_ssr_2,nearest_ssr_3,nearest_ssr_4,nearest_ssr_5,nearest_ssr_6,nearest_ssr_7,nearest_ssr_8,nearest_ssr_9,nearest_ssr_10,nearest_ssr_11,nearest_ssr_12,nearest_u10_1,nearest_u10_2,nearest_u10_3,nearest_u10_4,nearest_u10_5,nearest_u10_6,nearest_u10_7,nearest_u10_8,nearest_u10_9,nearest_u10_10,nearest_u10_11,nearest_u10_12,tas_ann_avg,tas_ao_avg,tas_amj_avg,tas_jja_avg,tas_warmest_month,tcc_ann_avg,rh_ann_avg,ssr_ann_avg,u10_ann_avg
2,-120.7983142,66.04549851,Great Bear,Canada,North America,1,30450.64063,72.1999969,145,157,0.0,0.0,97.0,272.0,0.0,463.0,73.0,125.0,235.0,191.0,337.0,294.0,312.0,258.0,163.0,137.0,229.0,0.0,0.0,0.0,0.0,0.0,40.0,192.0,375.0,430.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.0,280.0,339.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,273.0,453.0,463.0,327.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,138.0,317.0,346.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,247.0,433.0,513.0,195.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,382.0,543.0,759.0,869.0,518.0,24.0,0.0,0.9633333333333333,1.6514285714285715,0.13333333333333333,2.0233333333333334,4.3,66.04549851,0.928011111111111,2.727216326530612,0.017777777777777778,4.093877777777778,18.49,10.323862311668785,4.279440002962492,0.145,-25.360504,-25.88559,-19.531387,-10.4938965,-1.0007935,2.721466,6.8240356,10.075806,7.7906494,1.848053,-8.33374,-21.647293,66.64773,68.72182,65.02327,62.22756,60.02545,60.19145,61.893723,64.689255,75.69166,86.02367,91.03182,75.76865,87.32298,82.13061,78.23753,78.935326,89.42025,91.41833,91.08121,85.99621,75.54219,73.726616,78.11575,85.27891,117824.22,861198.0,2689371.0,5658423.0,11855666.0,17397766.0,19941770.0,13908884.0,6953498.0,2417963.0,443924.78,13825.223,-0.49746922,-0.011616343,-0.591114,-2.1708364,-2.4656801,-1.0910918,0.23680909,-0.8277867,-0.352177,-0.83468735,-0.15275735,-0.50717336,-6.9160995,2.5379028,-2.924408,6.540436,10.075806,69.828,83.100494,6855008.5,-0.77213174
3,-114.1221738,61.68616887,Great Slave,Canada,North America,1,26734.28906,59.0999985,148,195,0.0,0.0,347.0,840.0,0.0,1384.0,302.0,397.0,214.0,152.0,275.0,301.0,319.0,280.0,149.0,105.0,189.0,0.0,0.0,0.0,0.0,1.0,329.0,834.0,1286.0,1242.0,449.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,574.0,1109.0,982.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,558.0,1093.0,1384.0,1383.0,955.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,221.0,748.0,1186.0,1119.0,326.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,438.0,919.0,1386.0,1364.0,594.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.0,555.0,526.0,21.0,0.0,0.0,0.0,0.0,0.0,94.0,480.0,953.0,1522.0,2017.0,1957.0,1236.0,141.0,0.0,3.450833333333333,5.9157142857142855,1.1,8.163333333333334,12.86,61.68616887,11.908250694444444,34.99567551020408,1.2100000000000002,66.64001111111112,165.37959999999998,10.193702254921531,4.079230899031342,0.148,-22.440384,-23.396744,-15.791199,-6.7299805,0.43756104,4.743286,10.476257,13.731232,10.5841675,3.6690674,-5.9905396,-18.60344,78.39377,69.958855,62.34727,59.78554,49.53,61.10599,56.322994,57.73263,64.63364,81.55722,92.75919,87.960785,86.1431,83.04562,79.808685,80.853966,85.69781,89.36128,89.39103,82.09221,71.83054,73.19709,80.69922,84.415726,385734.22,1378972.0,3380328.5,7267549.0,13535753.0,20771266.0,20606356.0,15379195.0,9238366.0,3795158.2,1107786.2,206331.67,-0.35077527,-0.045580745,-1.0186882,-2.0312588,-2.5850406,-1.7719436,-0.49860138,-0.8358195,-0.076310486,0.021593358,0.1420322,0.016849054,-4.109226,5.273084,-0.51637775,9.650258,13.731232,68.507324,82.21136,8087732.0,-0.7527952
5,-86.74053536,47.40420944,Superior,United States of America,North America,1,81843.92188,146.6999969,179,112,0.0,0.0,418.0,582.0,0.0,1193.0,356.0,496.0,103.0,0.0,233.0,361.0,,320.0,98.0,,188.0,0.0,0.0,0.0,15.0,98.0,334.0,680.0,1036.0,1177.0,977.0,548.0,124.0,0.0,0.0,0.0,0.0,44.0,206.0,494.0,880.0,1137.0,786.0,326.0,0.0,0.0,0.0,0.0,42.0,176.0,482.0,868.0,1158.0,1193.0,1130.0,771.0,312.0,0.0,0.0,0.0,0.0,40.0,269.0,583.0,926.0,1063.0,877.0,443.0,46.0,27.0,0.0,43.0,101.0,163.0,400.0,776.0,1146.0,1290.0,1076.0,653.0,246.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,334.0,475.0,398.0,56.0,0.0,437.0,409.0,487.0,561.0,501.0,743.0,1295.0,1738.0,1879.0,1555.0,1099.0,676.0,4.1575,6.167142857142856,1.49,6.833333333333334,11.77,47.40420944,17.28480625,38.03365102040815,2.2201,46.69444444444445,138.53289999999998,11.312569320787192,4.988389664017375,0.179,-6.157959,-8.96582,-4.6545105,0.029449463,3.881012,7.1087036,11.585388,14.940918,13.837921,8.69046,2.4945374,-1.9436951,93.87449,86.81971,66.72826,63.874233,59.543762,65.36728,56.168198,54.61411,53.712444,68.143486,81.11539,90.60269,78.40715,82.1035,81.739685,80.925804,86.40576,88.75225,87.74031,88.01841,83.575935,76.8571,74.81633,74.773605,2181313.8,3023800.5,6265816.0,12656731.0,20605744.0,22188272.0,22487164.0,18644642.0,13950693.0,8090379.5,4541697.0,2803808.5,3.0868008,3.0482,1.0724416,-0.2168045,-0.11890074,0.113566786,1.4209813,1.1212317,1.104573,1.1338469,2.816595,2.4750104,3.403867,8.581979,3.673055,11.21167,14.940918,70.047005,82.00966,11453339.0,1.4214619
6,-86.98502511,42.80074596,Michigan,United States of America,North America,1,57726.83984,84.1999969,175,119,0.0,0.0,955.0,955.0,124.0,2245.0,869.0,1040.0,0.0,0.0,156.0,,,352.0,,,142.0,321.0,222.0,145.0,176.0,531.0,1208.0,1928.0,2217.0,1935.0,1369.0,844.0,501.0,265.0,183.0,124.0,125.0,289.0,836.0,1611.0,2158.0,1680.0,1087.0,648.0,394.0,388.0,262.0,180.0,278.0,832.0,1586.0,2171.0,2245.0,2148.0,1662.0,1069.0,637.0,219.0,133.0,71.0,109.0,426.0,1102.0,1841.0,2155.0,1864.0,1284.0,763.0,405.0,423.0,310.0,219.0,243.0,634.0,1315.0,2014.0,2279.0,2005.0,1455.0,926.0,598.0,0.0,0.0,0.0,0.0,27.0,563.0,1359.0,1784.0,1501.0,893.0,364.0,42.0,803.0,703.0,616.0,565.0,1132.0,1853.0,2496.0,2651.0,2369.0,1846.0,1324.0,985.0,9.4975,13.377142857142857,6.383333333333334,17.843333333333334,22.17,42.80074596,90.20250625000001,178.94795102040817,40.74694444444445,318.38454444444443,491.5089000000001,10.963477506213696,4.433194884431178,0.175,-2.0803223,-3.939148,-0.10571289,3.9320679,7.8806763,13.674622,19.838593,21.555786,19.157501,12.750519,5.5595093,2.033081,87.515205,82.471275,65.62499,63.769104,66.603806,62.21569,48.140537,47.03474,49.719383,63.57396,70.16519,82.538925,77.65592,82.20607,80.12052,79.85389,86.480675,91.01048,84.865265,79.5759,76.086174,74.754364,73.21759,72.95422,4915605.5,6748997.5,11423622.0,17428136.0,20575426.0,22501990.0,23593396.0,20457934.0,15411788.0,9539036.0,6267648.0,4456965.5,3.250369,2.5774965,0.5098183,-0.2596105,-0.23529625,-0.025309972,0.6403387,0.47326607,0.049519606,1.3858846,3.2989438,3.0093834,8.354764,14.1128235,8.495789,18.356333,21.555786,65.78107,79.89843,13610045.0,1.2229003
8,-82.41335668,44.75630421,Huron,United States of America,North America,1,59399.30078,59.7999992,175,54,0.0,0.0,791.0,936.0,0.0,1907.0,702.0,902.0,57.0,0.0,164.0,52.0,,350.0,108.0,,148.0,221.0,36.0,0.0,17.0,305.0,878.0,1488.0,1860.0,1797.0,1395.0,914.0,518.0,110.0,0.0,0.0,0.0,100.0,579.0,1205.0,1746.0,1641.0,1152.0,708.0,357.0,347.0,104.0,0.0,90.0,555.0,1184.0,1732.0,1907.0,1900.0,1627.0,1135.0,695.0,64.0,0.0,0.0,0.0,215.0,805.0,1419.0,1780.0,1696.0,1268.0,763.0,358.0,388.0,200.0,83.0,107.0,396.0,952.0,1557.0,1939.0,1897.0,1522.0,1065.0,677.0,0.0,0.0,0.0,0.0,4.0,382.0,992.0,1362.0,1295.0,886.0,400.0,44.0,740.0,552.0,451.0,496.0,805.0,1375.0,1984.0,2358.0,2298.0,1903.0,1428.0,1034.0,7.8575,11.057142857142857,4.0,14.086666666666668,18.6,44.75630421,61.740306249999996,122.2604081632653,16.0,198.43417777777782,345.96000000000004,10.992037733900982,4.091005647578659,0.175,-3.4154968,-6.2080994,-2.699524,1.6888733,5.760071,10.843323,16.975037,19.275665,16.738434,11.243225,4.7139893,0.9538574,91.1873,84.42448,67.742836,65.053955,59.738743,59.176174,47.614258,45.293293,54.72262,67.380684,76.37495,86.99993,78.64991,84.178314,81.856064,80.66441,85.57899,87.58042,86.45308,83.40262,78.79119,76.5179,74.60714,73.468,3897381.0,4972130.0,8681502.0,15581141.0,21157000.0,22955410.0,22979620.0,19962870.0,14522884.0,8916652.0,5484629.0,3573445.8,3.8121839,2.9780066,1.4186628,0.45267186,0.32862085,0.58216786,1.3615165,1.2893825,0.8709194,1.7178193,3.9295497,3.4867184,6.3224463,11.789232,6.097422,15.698009,19.275665,67.14243,80.979,12723721.0,1.8523517
9,-81.19338061,42.23580444,Erie,United States of America,North America,1,25767.78906,19.3999996,172,115,0.0,0.0,1016.0,1315.0,0.0,2261.0,944.0,1092.0,83.0,0.0,139.0,8.0,,343.0,90.0,,116.0,13.0,0.0,0.0,250.0,871.0,1539.0,2063.0,2245.0,2070.0,1630.0,1031.0,403.0,0.0,0.0,0.0,4.0,546.0,1218.0,1854.0,2212.0,1897.0,1353.0,724.0,124.0,107.0,0.0,0.0,526.0,1202.0,1836.0,2217.0,2261.0,2206.0,1882.0,1333.0,703.0,0.0,0.0,0.0,175.0,792.0,1454.0,1973.0,2155.0,1970.0,1541.0,927.0,280.0,70.0,0.0,10.0,336.0,950.0,1625.0,2154.0,2336.0,2170.0,1720.0,1133.0,525.0,0.0,0.0,0.0,7.0,388.0,981.0,1429.0,1614.0,1475.0,1101.0,488.0,22.0,455.0,244.0,365.0,768.0,1354.0,2098.0,2698.0,2877.0,2666.0,2160.0,1574.0,950.0,10.095833333333333,15.24,8.866666666666667,19.49,22.45,42.23580444,101.92585069444445,232.2576,78.61777777777779,379.86009999999993,504.00249999999994,10.156880504855206,2.9652730454507257,0.172,-2.2612305,-4.5381165,-0.85009766,4.22171,11.048859,18.309906,22.232727,22.30841,19.546875,13.719177,6.500641,3.0536804,83.30732,76.18149,65.58227,65.79777,64.738594,57.763157,48.1441,47.530502,49.2026,62.300644,70.846436,83.53876,77.82967,87.15805,82.22743,80.32724,83.364334,80.191086,77.63027,76.019325,76.00713,74.98288,71.73276,72.16063,4623708.5,6367816.0,11115901.0,16929576.0,20551828.0,22551464.0,22144184.0,19890242.0,15269088.0,9572852.0,6335778.0,4329978.5,3.9944594,2.850398,1.5223352,0.59990484,0.6707989,0.9601433,1.5889163,1.2412933,0.1327055,1.7349092,4.1075664,3.9200075,9.441045,15.912523,11.193492,20.950348,22.30841,64.5778,78.302574,13306868.0,1.9436198
10,31.36248722,60.74347623,Ladoga,Russia,Europe,1,17444.00977,48.0,-10,120,0.0,0.0,560.0,982.0,0.0,1741.0,504.0,621.0,157.0,0.0,221.0,329.0,,298.0,120.0,,153.0,0.0,0.0,0.0,0.0,206.0,953.0,1591.0,1679.0,1310.0,750.0,176.0,0.0,0.0,0.0,0.0,0.0,7.0,562.0,1350.0,1549.0,1060.0,457.0,0.0,0.0,0.0,0.0,0.0,0.0,476.0,1327.0,1736.0,1741.0,1536.0,1041.0,437.0,0.0,0.0,0.0,0.0,0.0,126.0,861.0,1488.0,1581.0,1216.0,642.0,89.0,0.0,0.0,0.0,0.0,18.0,297.0,1047.0,1693.0,1777.0,1405.0,859.0,301.0,3.0,0.0,0.0,0.0,0.0,0.0,310.0,871.0,1053.0,751.0,177.0,0.0,0.0,65.0,106.0,300.0,468.0,745.0,1601.0,2311.0,2305.0,1870.0,1341.0,763.0,300.0,5.554166666666666,9.27,3.8633333333333333,14.076666666666668,16.79,60.74347623,30.848767361111108,85.93289999999999,14.925344444444445,198.1525444444445,281.90409999999997,9.766751589040464,3.871201010907891,-0.01,-3.8851929,-3.1416626,-2.5283203,1.4188538,5.960602,12.384338,16.813477,17.503662,13.3723755,7.26001,3.4265747,0.2883606,91.714264,85.81818,64.48715,59.234165,58.431686,54.46491,55.698887,60.612095,67.30778,78.125374,88.61693,89.62677,83.73505,83.76115,83.576775,82.70339,82.45373,80.08466,81.90284,77.656906,78.065636,80.092834,81.98924,84.3969,580850.3,1498851.5,4384894.0,11224066.0,18637368.0,21302364.0,19048422.0,14217549.0,8424809.0,3624140.8,1001066.7,405057.0,0.8705421,1.1689974,1.495002,1.0868899,-0.11124524,0.8751246,0.63446236,1.6942599,0.88671553,1.5775948,1.7799797,2.6806839,5.7394233,10.673331,6.587931,15.567159,17.503662,71.178185,81.70159,8695787.0,1.2199173
12,73.93293681,45.77252493,Balkhash,Kazakhstan,Asia,1,16717.89063,6.6999998,338,101,0.0,0.0,974.0,1507.0,0.0,2348.0,938.0,1011.0,129.0,103.0,152.0,327.0,340.0,315.0,90.0,77.0,101.0,0.0,0.0,0.0,495.0,1434.0,2106.0,2332.0,2187.0,1762.0,1068.0,235.0,0.0,0.0,0.0,0.0,30.0,997.0,1857.0,2293.0,2023.0,1474.0,656.0,0.0,0.0,0.0,0.0,0.0,965.0,1823.0,2286.0,2348.0,2309.0,2010.0,1451.0,627.0,0.0,0.0,0.0,0.0,428.0,1371.0,2056.0,2287.0,2142.0,1705.0,1007.0,186.0,0.0,0.0,0.0,4.0,565.0,1496.0,2156.0,2377.0,2233.0,1818.0,1129.0,291.0,0.0,0.0,0.0,0.0,206.0,1071.0,1803.0,2048.0,1902.0,1436.0,721.0,49.0,0.0,0.0,0.0,73.0,844.0,1797.0,2409.0,2616.0,2472.0,2088.0,1415.0,557.0,11.0,9.6825,16.262857142857143,13.45,22.083333333333336,23.32,45.77252493,93.75080624999998,264.4805224489796,180.90249999999997,487.6736111111112,543.8224,9.724234720187217,1.9021074965461735,0.338,-8.758545,-7.6716614,-0.6897278,7.080261,19.142578,23.864899,26.101013,24.139618,17.269684,9.200317,0.60028076,-4.8518066,68.11789,64.16297,55.123775,44.45894,32.49417,34.147957,24.116049,19.885109,25.07502,42.82177,54.496952,65.053444,83.50639,85.8249,84.66012,73.61836,54.775326,54.278584,53.011227,55.035084,59.91565,66.85953,74.000046,79.558235,2236617.0,3795936.0,7827466.5,16902424.0,23687512.0,24387576.0,24242656.0,21473992.0,16635735.0,10122775.0,5654092.5,2347834.2,-1.2722892,-1.0454284,-1.1855451,-0.77861905,-1.9717944,-1.0416546,-1.0214378,-1.8318933,-1.4756446,-0.053128403,-0.3760599,-0.46889597,8.785576,18.114054,16.695913,24.701843,26.101013,44.162838,68.753624,13276219.0,-1.0435325
13,59.85631718,44.71968333,Large Aral Sea,Uzbekistan,Asia,1,23865.91016,1.1,29,83,0.0,1.0,1982.0,2531.0,0.0,4344.0,1853.0,2122.0,79.0,0.0,133.0,326.0,,305.0,39.0,,72.0,0.0,233.0,1106.0,1902.0,2680.0,3577.0,4186.0,4245.0,3469.0,1932.0,341.0,0.0,0.0,0.0,664.0,1544.0,2283.0,3194.0,3949.0,4015.0,2827.0,1070.0,0.0,0.0,0.0,632.0,1519.0,2258.0,3097.0,3928.0,4338.0,4344.0,3990.0,2775.0,1014.0,0.0,0.0,107.0,921.0,1745.0,2542.0,3446.0,4050.0,4090.0,3288.0,1718.0,198.0,0.0,0.0,415.0,1291.0,2059.0,2818.0,3707.0,4323.0,4400.0,3651.0,2146.0,536.0,0.0,0.0,0.0,139.0,852.0,1632.0,2531.0,3139.0,3196.0,2416.0,873.0,0.0,0.0,480.0,1259.0,2160.0,2951.0,3726.0,4623.0,5233.0,5295.0,4523.0,2992.0,1350.0,389.0,19.725833333333334,31.415714285714284,27.196666666666665,40.026666666666664,42.45,44.71968333,389.10850069444444,986.9471040816326,739.6586777777777,1602.1340444444443,1802.0025000000003,10.080206366571556,0.09531017980432493,0.029,-4.7246094,-4.388855,0.67092896,9.287964,22.304565,26.989075,28.305206,26.18814,19.218506,10.756836,2.862793,-2.119873,72.15553,63.20756,53.968464,43.51455,34.756973,20.855612,16.611616,13.553281,22.616722,35.266983,52.744152,66.58329,84.992424,83.04079,83.68869,72.2189,56.19724,52.63798,54.628162,57.01794,61.625324,67.71968,73.89288,79.374306,2757500.5,4622376.0,9561246.0,18493780.0,22375670.0,24800408.0,24661816.0,21964062.0,16240949.0,10375137.0,5944213.0,3186656.5,-1.2804838,-1.2579488,-1.0993401,-0.78481895,-1.8720576,-0.68637604,-0.17227343,-0.63677716,-1.3008084,-0.6929533,-1.4709541,-0.3654393,11.279223,20.435757,19.5272,27.160807,28.305206,41.31956,68.919525,13748651.0,-0.9683526
14,53.44596938,41.46619247,Kara-Bogaz-Gol,Turkmenistan,Asia,1,18666.80078,101.0,-30,102,0.0,0.0,1521.0,1521.0,136.0,2875.0,1453.0,1589.0,0.0,0.0,79.0,,,344.0,,,57.0,153.0,305.0,752.0,1389.0,2059.0,2630.0,2856.0,2743.0,2322.0,1660.0,932.0,373.0,136.0,180.0,486.0,1068.0,1737.0,2415.0,2803.0,2584.0,2036.0,1294.0,621.0,200.0,193.0,470.0,1047.0,1714.0,2363.0,2795.0,2875.0,2853.0,2570.0,2014.0,1269.0,602.0,61.0,224.0,683.0,1330.0,2009.0,2568.0,2797.0,2689.0,2256.0,1594.0,859.0,288.0,245.0,386.0,821.0,1447.0,2109.0,2692.0,2916.0,2797.0,2388.0,1726.0,1006.0,459.0,0.0,1.0,308.0,946.0,1618.0,2250.0,2499.0,2403.0,1950.0,1221.0,488.0,25.0,601.0,751.0,1196.0,1830.0,2500.0,3009.0,3213.0,3083.0,2694.0,2098.0,1377.0,819.0,15.145,22.37,20.26,27.43,28.56,41.46619247,229.37102499999997,500.41690000000006,410.46760000000006,752.4049,815.6736,9.834501865666224,4.61512051684126,-0.03,4.9051514,4.8772583,7.9428406,13.607483,21.30774,27.185547,28.985992,28.411377,23.21051,15.825134,9.274475,6.2825317,61.086323,57.370815,47.351795,41.945538,31.7117,19.380192,16.257597,12.118722,16.3322,33.096577,51.084427,56.71958,77.86975,75.67914,76.66453,71.15228,66.5951,58.075356,59.866993,56.514328,59.758442,64.16522,71.09281,76.27209,6452936.5,9992180.0,14990405.0,19308280.0,21935018.0,24105396.0,24168028.0,21980940.0,16319461.0,11360436.0,7339898.5,5609783.0,-2.4020104,-2.6431575,-1.8152347,-1.3173054,-0.97960216,-0.6025971,-0.662601,-2.0416102,-2.679602,-3.4296227,-3.8476546,-2.7852154,15.98467,22.647684,20.700256,28.194305,28.985992,37.037956,67.80884,15296896.0,-2.1005177
